Eliminated Week,League,Team,Owner,Score,Cumulative Score at Elimination
12,L1 The Process,#Fartgate,DrWraith84,178.32,2282.24
12,L2 Sack Based Floor,jbieligk,jbieligk,180.02,2297.88
12,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,TurdFergusonFF,165.25,2141.7
11,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,149.85,2214.75
11,L4 LTS League 4 (some),DavisDayCare,DavisDayCare,163.94,2021.78
11,L5 Week 3 Nick Foles,Lenny’s Retirement Party,matthewdwood82,158.66,2166.35
10,L1 The Process,Weagle85,Weagle85,152.75,1839.08
10,L3 The Only Legitimate LTS Bowl League,WilhelmTilt,ringular,135.79,1825.77
10,L3 The Only Legitimate LTS Bowl League,Ridders Revenge,johnnysmomskid,155.76,1791.92
9,L1 The Process,SycamoreFlynns,SycamoreFlynns,132.75,1529.48
9,L4 LTS League 4 (some),You could do worse,pfitzsimmons85,100.88,1526.26
9,L4 LTS League 4 (some),Poop on the Cob,Joker1b,133.97,1580.01
8,L1 The Process,AWhore,AWhore,158.76,1445.52
8,L4 LTS League 4 (some),jetsgnome22,jetsgnome22,155.07,1409.7
8,L5 Week 3 Nick Foles,The Lib Owners,nak97,152.11,1397.41
7,L2 Sack Based Floor,Leg Wrestling Champ,RawlsTofJ,127.2,1203.55
7,L3 The Only Legitimate LTS Bowl League,My Team Sux,_casey88,132.87,1216.27
7,L4 LTS League 4 (some),powersrva,powersrva,141.45,1289.3899999999999
6,L1 The Process,Admiral Snackbar,Dandelo19,124.65,1075.69
6,L2 Sack Based Floor, I am tilting,arthurdantas,132.88,990.06
6,L3 The Only Legitimate LTS Bowl League,39ers,tripp39,134.91,1158.81
5,L1 The Process,Sweep The Leg,ctjoumas,137.24,843.14
5,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,reginaldo,112.99,882.6
5,L5 Week 3 Nick Foles,Big Seltzer™,jonsey456,141.74,985.2
4,L4 LTS League 4 (some),BigUglyRhino,ErikFedders,141.47,698.44
4,L5 Week 3 Nick Foles,TD Upside,csurunnerccr,140.03,761.83
4,L5 Week 3 Nick Foles,Great Clips' Revenge,CommieEsq,136.4,684.53
3,L2 Sack Based Floor,kfisch55,kfisch55,140.18,510.03
3,L2 Sack Based Floor,The Process,stephensear,135.35,473.58000000000004
3,L5 Week 3 Nick Foles,Sexy Skeletons ,aspires,146.82,506.14
2,L2 Sack Based Floor,Not Great Bob,tommcg17,169.28,311.53
2,L3 The Only Legitimate LTS Bowl League,Gods of War,DefLepFan4Ever,160.3,298.77
2,L4 LTS League 4 (some),Bang Bang Gang,theB1gGuy,152.84,319.99
1,L1 The Process,Hana Ho Beaches,Kendradhl,130.06,130.06
1,L3 The Only Legitimate LTS Bowl League,Edina Cake Eaters,ecsirkin,111.03,111.03
1,L5 Week 3 Nick Foles,charlessword,charlessword,130.91,130.91
